#SpaceTrack

CAT ID,SATNAME,INTLDES,TYPE,COUNTRY,LAUNCH DATE,SITE,DECAY
262 ,THOR ABLESTAR DEB,1961-015CJ,DEBRIS,US,1961-06-29,AFETR,
263 ,THOR ABLESTAR DEB,1961-015CK,DEBRIS,US,1961-06-29,AFETR,
264 ,THOR ABLESTAR DEB,1961-015CL,DEBRIS,US,1961-06-29,AFETR,
265 ,THOR ABLESTAR DEB,1961-015CM,DEBRIS,US,1961-06-29,AFETR,1978-10-12
266 ,COSMOS 1 (SPUTNIK 11),1962-008A,PAYLOAD,CIS,1962-03-16,KYMTR,1962-05-23
267 ,SL-7 R/B,1962-008B,ROCKET BODY,CIS,1962-03-16,KYMTR,1962-06-18
268 ,THOR ABLESTAR DEB,1961-015CN,DEBRIS,US,1961-06-29,AFETR,
269 ,COSMOS 2 (SPUTNIK 12),1962-009A,PAYLOAD,CIS,1962-04-06,TTMTR,1963-08-23
270 ,SL-7 R/B,1962-009B,ROCKET BODY,CIS,1962-04-06,TTMTR,1962-10-06
271 ,MIDAS 5 (STRONGBACK),1962-010A,PAYLOAD,US,1962-04-09,AFWTR,
272 ,MIDAS 5 DEB,1962-010B,DEBRIS,US,1962-04-09,AFWTR,1962-05-04
273 ,MIDAS 5 DEB,1962-010C,DEBRIS,US,1962-04-09,AFWTR,
274 ,MIDAS 5 DEB,1962-010D,DEBRIS,US,1962-04-09,AFWTR,
275 ,THOR ABLESTAR DEB,1961-015CP,DEBRIS,US,1961-06-29,AFETR,2001-12-01
276 ,FTV 1154,1962-011A,PAYLOAD,US,1962-04-18,AFWTR,1962-05-28
